"subjnum" "catt33G2" "G2m1_rpdi" "G2m2_pdi" "G2m3_rpd0" "G2m4_pd0" "G2m5_rpd1" "G2m6_pd1" "G2m7_rpi" "G2m8_pi" "G2m9_rp0" "G2m10_p0" "G2m11_rp1" "G2m12_p1" "G2m13_rdi" "G2m14_di" "G2m15_rd0" "G2m16_d0" "G2m17_rd1" "G2m18_d1" "G2m19_ri" "G2m20_i" "G2m21_r0" "G2m22_0" "G2m23_r1" "G2m24_1" "BICm1_rpdi" "BICm2_pdi" "BICm3_rpd0" "BICm4_pd0" "BICm5_rpd1" "BICm6_pd1" "BICm7_rpi" "BICm8_pi" "BICm9_rp0" "BICm10_p0" "BICm11_rp1" "BICm12_p1" "BICm13_rdi" "BICm14_di" "BICm15_rd0" "BICm16_d0" "BICm17_rd1" "BICm18_d1" "BICm19_ri" "BICm20_i" "BICm21_r0" "BICm22_0" "BICm23_r1" "BICm24_1" "subjnum" "m1_rpdi_r" "m1_rpdi_p" "m1_rpdi_d" "m1_rpdi_i" "m3_rpd0_r" "m3_rpd0_p" "m3_rpd0_d" "m3_rpd0_i" "m5_rpd1_r" "m5_rpd1_p" "m5_rpd1_d" "m5_rpd1_i" "m7_rpi_r" "m7_rpi_p" "m7_rpi_d" "m7_rpi_i" "m9_rp0_r" "m9_rp0_p" "m9_rp0_d" "m9_rp0_i" "m11_rp1_r" "m11_rp1_p" "m11_rp1_d" "m11_rp1_i" "m13_rdi_r" "m13_rdi_p" "m13_rdi_d" "m13_rdi_i" "m15_rd0_r" "m15_rd0_p" "m15_rd0_d" "m15_rd0_i" "m17_rd1_r" "m17_rd1_p" "m17_rd1_d" "m17_rd1_i" "m19_ri_r" "m19_ri_p" "m19_ri_d" "m19_ri_i" "m21_r0_r" "m21_r0_p" "m21_r0_d" "m21_r0_i" "m23_r1_r" "m23_r1_p" "m23_r1_d" "m23_r1_i"
"s1" 1 111.401659876201 27.2686210387056 NA 36.1069084260756 NA 27.5235620566428 NA 32.782291621033 NA 47.3070818584408 NA 34.6191676716513 NA 31.1610058972365 NA 36.124279277533 NA 31.6808077385074 NA 35.7915165592521 NA 49.5110357798767 NA 36.1705644887138 NA 44.4304588032992 NA 48.9782867495207 NA 40.394940380088 NA 45.6536699444782 NA 55.8880007407376 NA 43.2000865539481 NA 44.0323842206817 NA 44.7051981598298 NA 40.2617266208041 NA 44.3724354415489 NA 53.8014952210251 NA 40.4610239298622 NA 1 1 0.921789926097421 0.116505676786467 1.65353196588237 0.45367483685237 0.474577708819464 3.16119931677294 0.0837441709944613 1 0.939170630560952 0.19578711935931 0.0100000000000026 0.228291075894839 0.791730611901251 0.01 5 0.999999999997833 0.531849914308895 0.010343764513644 0.0103664734028293 0.914400408725114 0.724376037788044 2.19727373723879 2.80443948775445 0.999999929966772 0.922203289209954 0.101867787179226 1.61020048833023 0.466241117463347 0.31471257535261 3.1485019455713 0.164859738758063 0.999991820966036 0.000355877700150694 0.159205033906182 4.75192917596211 0.824269262084584 0.0865776663660085 4.66700808126909 1.06823452190466 0.716659937584375 0.702996142529185 3.41595064961716 4.97462004390107 0.853340334564147 0.102268513132379 0.516910697577785 3.2243001492033
"s2" 2 216.687429910311 160.678809630865 NA 178.452400469043 NA 164.880832810313 NA 176.686128710099 NA 178.840685060524 NA 182.057294217915 NA 166.829146155051 NA 178.501802612625 NA 169.112449725073 NA 176.68677847745 NA 178.842330737728 NA 182.656832587182 NA 180.0555579767 NA 192.984961728419 NA 179.413394069689 NA 191.218689969474 NA 188.529059233441 NA 191.745668390832 NA 181.361707414426 NA 188.190176785542 NA 178.80082389799 NA 186.375152650367 NA 183.686517824186 NA 187.501019673641 NA 2 0.987666862517154 0.0202919753733776 0.050824254172931 4.99997840637752 0.168641683288067 0.19069773303368 1.14591098687905 4.99959468942728 0.583480810625833 0.159737707800486 0.287520455382118 3.75302313265962 0.191976613342222 0.18939800955513 3.05135882315433 0.425866190558437 0.192137358522515 0.196439635544664 2.83793894386122 4.96631419704426 0.162620069752701 0.117020196164281 0.70935922227388 4.17264231912343 0.365526093715523 0.0264659230933996 0.25863647152948 1.40747815855945 0.17820294763983 0.818772441080866 1.13060665460794 1.48991335804862 0.413757248096619 0.842325203522066 0.279124572832896 0.526285480396582 0.191108780593654 0.964221669942064 2.85542491849765 0.424801058519472 0.193744818637072 0.604293380331754 3.38851331918004 0.639761775156469 0.139571112099289 0.707034427336018 1.27479394018426 0.439392267888985
"s3" 3 146.012742960219 46.8714891985526 NA 79.0369870624365 NA 55.2062504862955 NA 53.7612159612252 NA 85.9882672325352 NA 76.2042634439058 NA 53.7029058249625 NA 82.9229396585914 NA 67.2423302787801 NA 55.2897121856517 NA 87.4176460662954 NA 79.1968597289649 NA 64.546851629739 NA 92.2935088858263 NA 68.4627723096853 NA 67.017737784615 NA 94.8259484481283 NA 85.041944659499 NA 66.9594276483523 NA 91.7606208741846 NA 76.0800114943733 NA 64.1273934012449 NA 91.836486674092 NA 83.6157003367614 NA 3 1 0.612691522844804 0.126773905126877 4.99999999999466 1 0.613726116355709 0.0100000061397817 0.01 1 0.418539117162829 0.217607367919088 0.0100000040430227 0.783938956707602 0.561009569553303 4.99975287412936 4.34714412015059 0.999999999994883 0.468255538633754 0.0100413975967544 0.0100002937217091 0.557400947010729 0.312818280011743 2.1808169567399 0.920123991028874 0.630103246333449 0.993625960486516 0.733626401629496 4.22058633771033 0.453071249873222 0.821199446244527 1.66721807431186 2.80695551814652 0.991963051603893 0.996299908248972 0.179452333918204 0.016113802664099 0.613567425562615 0.387981360606462 4.61058267948266 3.34824223808985 0.556504386471301 0.0951128608901232 1.46871859678592 0.692620003297367 0.420706995131963 0.982467891887729 0.0925018794310456 1.29548637623663
"s4" 4 104.810586114194 9.30902758274168 NA 14.1913988029135 NA 11.9088128530066 NA 11.207663722643 NA 41.4485785353943 NA 11.9352316034169 NA 11.2643172688728 NA 23.1816619111887 NA 12.4527884998423 NA 11.6682259847822 NA 42.0858140575105 NA 13.0937579433029 NA 26.3030085509391 NA 26.9368845290616 NA 24.6542985791547 NA 23.9531494487911 NA 49.945569019493 NA 20.4322220875156 NA 24.0098029950208 NA 31.6786523952874 NA 20.949778983941 NA 20.1652164688809 NA 46.3343092995599 NA 17.3422531853523 NA 4 0.886221497316153 0.694593357679612 4.9999999926444 1.18425701038296 0.170369303576699 0.586568464994046 4.99999998409142 0.011526944736606 0.99999999908778 0.901338589768902 0.852393752767302 0.0100000000023644 1 0.853885347461948 0.01 4.99999999059814 0.472532495357437 0.864595085401765 0.997047192147059 3.50408535971473 0.999999994583397 0.869738716753208 4.99868220211771 0.0100000004326609 0.842043401023102 0.555394469165154 1.559038352374 1.28546817600301 0.519886309679726 0.039194083599563 4.29943333052736 3.9292833882943 0.96687437551623 0.00471567802340966 0.692693838746971 4.83855172852497 0.893520327076717 0.631483963999418 4.94348781484055 3.94201994609575 0.772826611784917 0.238798828200528 3.98292573451031 3.9138794222189 0.95311490281688 0.768317014620645 2.3736819271562 2.71664178483409
"s5" 5 126.206067847648 41.1995512261077 NA 50.4806068531237 NA 41.7232552830894 NA 45.1966925145209 NA 59.1586218723951 NA 55.9187586981167 NA 43.0590886748513 NA 51.4063481503208 NA 43.0601923248026 NA 47.7105749467256 NA 61.3784201793586 NA 59.5168019386819 NA 58.8264282151647 NA 63.7007645949164 NA 54.9434130248822 NA 58.4168502563137 NA 67.9720603669236 NA 64.7321971926452 NA 56.279246416644 NA 60.2197866448493 NA 51.8736308193311 NA 56.5240134412541 NA 65.7851394266228 NA 63.9235211859462 NA 5 0.972260858831341 0.602876628738707 0.344218325602763 0.837619492720782 0.425905659152749 0.25262441562101 2.22122691346101 2.41658288917537 0.933856490552001 0.691969685422271 0.344019337747734 3.66787279911543 0.941152436961422 0.364039058604888 3.77320746559011 0.373052272010389 0.665469182176093 0.258894938152556 0.294928091661634 3.01157842377134 0.904894266998326 0.443011384481111 2.2829662722556 3.77809182694543 0.900034547183961 0.241961817083345 0.309178149243708 0.994771573235958 0.319466533613781 0.0902258874396521 2.21138856529552 3.27904827928847 0.898602661635282 0.592293606450793 0.309596143655786 0.247246664744282 0.541461307877816 0.113421991425014 3.01387451156617 0.576798695106666 0.470581660699716 0.838329251855755 2.91550304220415 4.519606661743 0.41195970512678 0.257121573312558 1.62597384339783 2.49887105211536
"s6" 6 128.978056584886 32.5606351301128 NA 47.6231340897119 NA 33.2374937832422 NA 34.7197684358254 NA 60.0477859653175 NA 36.5108376525879 NA 42.6773019598589 NA 48.6964630158413 NA 43.4540279779131 NA 50.2837162417809 NA 60.729391818161 NA 58.0703146616114 NA 50.1875121191698 NA 60.8432918315047 NA 46.457651525035 NA 47.9399261776181 NA 68.861224459846 NA 45.3242761471164 NA 55.8974597016517 NA 57.5099015103698 NA 52.2674664724416 NA 59.0971547363094 NA 65.1361110654252 NA 62.4770339088757 NA 6 1 0.349568088124534 0.395440208171527 1.17943400700489 0.216075527994957 0.374254294740499 2.61745331617239 1.59240359078071 1 0.330239642356195 0.367522838163017 0.0100000000000763 0.960230928547972 0.368882513280462 4.03652066284922 1.14843698465735 0.755274697401998 0.412323085485786 3.5553340358206 2.31418484689242 0.966926438324105 0.357756749835715 0.166326392432673 3.09158377195473 0.864040167832208 0.981374114963035 0.358496095025082 1.17942285542703 0.328565399815895 0.976935644583324 2.41788221834132 0.936309302980545 0.911791114003861 0.664098688094964 0.322779569356789 0.377878429040299 0.48813522037365 0.0986613985631093 3.43179167139872 0.579503347702385 0.500811514537073 0.666482204015711 1.48233924154086 2.77534921975865 0.408809800711071 0.451201933538296 4.94650603936029 4.87646074595262
"s7" 7 180.115388307771 107.278717427516 NA 125.673576996647 NA 107.966918723653 NA 119.361640541488 NA 129.523038935765 NA 124.86848685607 NA 125.950870553987 NA 131.114442735234 NA 128.042889418933 NA 129.07492965061 NA 140.314548616901 NA 129.104171324411 NA 126.361455925379 NA 139.985630870044 NA 122.27897259705 NA 133.673694414885 NA 139.064408184696 NA 134.409856105001 NA 140.262924427384 NA 140.655811984165 NA 137.584258667864 NA 138.616298899541 NA 145.085233241367 NA 133.874855948876 NA 7 0.903440243807973 0.00132444914052726 0.183412885546131 1.12677927181784 0.201251964930897 0.0672851921790395 1.65519102957308 3.79136659985354 0.924358736394209 0.00111737035041756 0.188210334187052 4.99512981819472 0.35906805790405 0.0909921909870135 4.20256581003558 0.690986189371797 0.313258746944594 0.0404420246009875 3.93955348244165 4.74287692310212 0.257301257539623 0.119663122583132 1.01106610945615 4.0529736613687 0.265638162637903 0.90926266544991 0.555660827231339 1.36340556002015 0.103718248663246 0.633287381297117 2.10645953763479 2.73165807914568 0.237032913254474 0.275479463417777 0.729576328659553 1.741552986473 0.18220120720755 0.0221911523466874 4.96340465978125 1.07174126115699 0.160359154529622 0.215442226281601 1.9914142295006 1.44456134667506 0.184633060368616 0.622725519530835 3.36601698686424 0.6458101951288
"s8" 8 123.772777181498 22.5834530079567 NA 45.109919786766 NA 35.0870104492322 NA 22.6066004808919 NA 54.021487987047 NA 51.1682992768358 NA 24.4705491655351 NA 49.1128314348412 NA 43.3033401178002 NA 24.5583672104251 NA 54.1878640743384 NA 52.9055456406697 NA 40.0102883147151 NA 58.1800462668347 NA 48.1571369293009 NA 35.6767269609607 NA 62.7349056404261 NA 59.881716930215 NA 37.5406756456039 NA 57.8262490882204 NA 52.0167577711794 NA 33.2717848638042 NA 58.544572901028 NA 57.2622544673593 NA 8 0.78237078897228 0.5905532393909 1.05126064461816 4.99999944960954 0.286931458202587 0.662914797345697 2.18223571887553 1.44849872968687 1 0.752328109629456 0.177737644476387 4.99995048534689 0.782459013165526 0.589911325957032 0.0100002947193133 4.99999985243735 0.568830492084043 0.76386810774152 0.777693653588637 2.14829220259186 0.957707571488633 0.432993041152894 1.06749307767936 3.10918570017824 0.631500387355291 0.621253697856936 1.15608606512031 4.32043454538938 0.559068412714951 0.974029152248802 1.96629133672829 4.63084039588532 0.997250592590633 0.481604986968765 0.168029201503399 0.233830840586138 0.638335271161963 0.801791246307961 3.69995562652172 4.96273822796802 0.728266222526136 0.954649982686275 1.51350644245716 3.9999469625504 0.433421124402084 0.364815912010332 3.18109688426239 0.680490821598182
"s9" 9 132.458243528565 38.5345042068376 NA 40.6945001909522 NA 43.1391104088664 NA 38.5353205842563 NA 51.2882896167299 NA 46.50464578721 NA 38.623654151784 NA 43.052720650879 NA 48.7269520093879 NA 38.7508536364059 NA 51.3088399763088 NA 56.4160532348398 NA 56.4438514647504 NA 54.1265106343868 NA 56.571120852301 NA 51.9673310276909 NA 60.2429632456863 NA 55.4593194161665 NA 52.0556645952186 NA 52.0073942798354 NA 57.6816256383443 NA 47.7055272653623 NA 55.786176790787 NA 60.893390049318 NA 9 0.965398586178934 0.852550477599236 0.982277490055498 0.266080557545203 0.266064816904791 0.715580083252628 2.53734813809659 4.47152747835843 1 0.999999999994498 0.0734595754971729 0.0100000000000029 0.962832427192352 0.84926507045222 0.391856836833009 0.265274360285788 0.916830396242085 0.860346460086018 0.0181165339963051 1.81666145695323 0.219070113156133 0.849194979117778 4.82675210027252 2.74020890559569 0.82894493500051 0.782870091555086 1.22265457859673 0.299749713586709 0.562346156775331 0.996979958532771 2.69740186401791 0.0131001629115878 0.791668568325926 0.868961366479026 0.409951539065018 2.27576426201348 0.873747923404764 0.208890587615538 4.9536872261025 0.326489267968083 0.871599758342234 0.807257817895947 1.83516799108364 3.08924310643041 0.556145706870846 0.761815042223852 4.38605929391099 4.06883055734302
"s10" 10 160.106100952937 102.929632307216 NA 121.465451152404 NA 114.027724376772 NA 120.931509481004 NA 122.638449444589 NA 130.099466585739 NA 122.271329157635 NA 122.263196147021 NA 128.889069709427 NA 123.051521830402 NA 123.855184250593 NA 142.222770033844 NA 121.620947645063 NA 135.48393765579 NA 128.046210880157 NA 134.94999598439 NA 131.984107113512 NA 139.445124254662 NA 136.289815661021 NA 131.608853815945 NA 138.234727378351 NA 132.397179499326 NA 128.528013085055 NA 146.895598868306 NA 10 0.999998404333013 2.32907179811673e-09 0.0354921329506531 4.99999991107338 0.228319393475327 0.142990343993017 1.32627868446617 0.140526104226607 0.995685211236666 2.7805220937706e-07 0.0946952910832573 4.99998379761683 0.286988746783738 0.121630218105623 4.04686366275534 0.402940743515477 0.291432182654133 0.153032117447143 4.48433257933799 3.5291394895286 0.248029204176492 0.0628508514305014 1.32713137923698 4.95079622032316 0.198839651264766 0.999781153295419 1.3593058941878 0.0100004115274291 0.198042369783487 0.689882979005386 1.36813662985311 3.36876251543817 0.981071992301095 0.592091620970086 0.0704023421972308 3.18145313387637 0.239984891393473 0.987597855824744 0.265218962216984 0.24941588812122 0.245004347622886 0.179158881117454 3.71142601969166 4.93822390305361 0.139733594409102 0.547249363183902 3.62469168714894 3.31532180500928
