"subjnum" "catt33G2" "G2m1_rpdi" "G2m2_pdi" "G2m3_rpd0" "G2m4_pd0" "G2m5_rpd1" "G2m6_pd1" "G2m7_rpi" "G2m8_pi" "G2m9_rp0" "G2m10_p0" "G2m11_rp1" "G2m12_p1" "G2m13_rdi" "G2m14_di" "G2m15_rd0" "G2m16_d0" "G2m17_rd1" "G2m18_d1" "G2m19_ri" "G2m20_i" "G2m21_r0" "G2m22_0" "G2m23_r1" "G2m24_1" "BICm1_rpdi" "BICm2_pdi" "BICm3_rpd0" "BICm4_pd0" "BICm5_rpd1" "BICm6_pd1" "BICm7_rpi" "BICm8_pi" "BICm9_rp0" "BICm10_p0" "BICm11_rp1" "BICm12_p1" "BICm13_rdi" "BICm14_di" "BICm15_rd0" "BICm16_d0" "BICm17_rd1" "BICm18_d1" "BICm19_ri" "BICm20_i" "BICm21_r0" "BICm22_0" "BICm23_r1" "BICm24_1" "subjnum" "m5_rpd1_r" "m5_rpd1_p" "m5_rpd1_d" "m5_rpd1_i"
"s1" 1 114.409714682253 NA NA NA NA 20.6163887626465 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 33.5688531032555 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 1 0.162469264416401 0.01
"s2" 2 102.613561526859 NA NA NA NA 0.104653333716581 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 12.8069728475084 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 0.756068503403839 0.986937526049659 4.99999752863499 0.0111009566492056
"s3" 3 144.154416443972 NA NA NA NA 43.8888639224012 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 56.95899040247 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 0.999269861549849 1 0.164865231361007 0.01
"s4" 4 136.988178522062 NA NA NA NA 37.6310981303526 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 50.5835624709615 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 1 0.993159406691115 0.309995608535452 0.01
"s5" 5 134.891334184714 NA NA NA NA 33.7412777874887 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 47.2738563070393 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5 0.638795883187914 0.999903090272149 0.315747284307601 0.0284669460368926
"s6" 6 107.818640920246 NA NA NA NA 6.9603595722805 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 19.7903579293287 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6 0.103765507142131 0.659336859611354 4.99999996472401 4.78145753565613
"s7" 7 137.224444600876 NA NA NA NA 33.4950185749412 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 46.56514505501 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 7 1 1 0.21586802368532 0.0100000000017296
"s8" 8 120.189758225543 NA NA NA NA 19.8435328525606 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 32.8749491181216 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8 0.81090503887244 0.970414213210183 4.99997096056515 0.0100014573449293
"s9" 9 159.803308460687 NA NA NA NA 72.0669288728662 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 85.2130087768878 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9 0.996115705592737 0.667143466252835 0.297958404917904 0.0501949705794995
"s10" 10 102.613561526859 NA NA NA NA 0.479704040619153 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 13.1820235544109 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 10 0.532523154921626 0.999999999999953 5 0.01
