"subjID" "group" "trial" "deck" "outcome"
"1" 1 "SDI" 1 1 0
"2" 1 "SDI" 2 1 1
"3" 1 "SDI" 3 4 1
"4" 1 "SDI" 4 1 1
"5" 1 "SDI" 5 2 1
"6" 1 "SDI" 6 3 1
"7" 1 "SDI" 7 4 1
"8" 1 "SDI" 8 1 1
"9" 1 "SDI" 9 2 1
"10" 1 "SDI" 10 3 1
"11" 1 "SDI" 11 4 1
"12" 1 "SDI" 12 1 1
"13" 1 "SDI" 13 4 0
"14" 1 "SDI" 14 1 0
"15" 1 "SDI" 15 1 1
"16" 1 "SDI" 16 4 1
"17" 1 "SDI" 17 2 1
"18" 1 "SDI" 18 4 1
"19" 1 "SDI" 19 1 1
"20" 1 "SDI" 20 4 1
"21" 1 "SDI" 21 2 1
"22" 1 "SDI" 22 3 1
"23" 1 "SDI" 23 2 1
"24" 1 "SDI" 24 1 1
"25" 1 "SDI" 25 2 0
"26" 1 "SDI" 26 2 1
"27" 1 "SDI" 27 3 1
"28" 1 "SDI" 28 4 1
"29" 1 "SDI" 29 2 1
"30" 1 "SDI" 30 1 1
"31" 1 "SDI" 31 4 1
"32" 1 "SDI" 32 1 1
"33" 1 "SDI" 33 3 1
"34" 1 "SDI" 34 4 1
"35" 1 "SDI" 35 1 1
"36" 1 "SDI" 36 4 0
"37" 1 "SDI" 37 2 0
"38" 1 "SDI" 38 3 1
"39" 1 "SDI" 39 1 0
"40" 1 "SDI" 40 4 1
"41" 1 "SDI" 41 1 1
"42" 1 "SDI" 42 4 1
"43" 1 "SDI" 43 3 1
"44" 1 "SDI" 44 2 1
"45" 1 "SDI" 45 1 1
"46" 1 "SDI" 46 3 1
"47" 1 "SDI" 47 4 1
"48" 1 "SDI" 48 3 1
"49" 1 "SDI" 49 2 1
"50" 1 "SDI" 50 3 0
"51" 1 "SDI" 51 1 1
"52" 1 "SDI" 52 3 0
"53" 1 "SDI" 53 4 1
"54" 1 "SDI" 54 1 1
"55" 1 "SDI" 55 3 1
"56" 1 "SDI" 56 4 1
"57" 1 "SDI" 57 3 1
"58" 1 "SDI" 58 1 1
"59" 1 "SDI" 59 3 1
"60" 1 "SDI" 60 4 1
"61" 1 "SDI" 61 2 1
"62" 1 "SDI" 62 3 1
"63" 1 "SDI" 63 1 0
"64" 1 "SDI" 64 2 0
"65" 1 "SDI" 65 1 1
"66" 1 "SDI" 66 4 1
"67" 1 "SDI" 67 2 1
"68" 1 "SDI" 68 1 1
"69" 1 "SDI" 69 4 1
"70" 1 "SDI" 70 1 1
"71" 1 "SDI" 71 4 1
"72" 1 "SDI" 72 3 1
"73" 1 "SDI" 73 4 1
"74" 1 "SDI" 74 2 1
"75" 2 "SDI" 1 1 0
"76" 2 "SDI" 2 4 0
"77" 2 "SDI" 3 4 1
"78" 2 "SDI" 4 1 1
"79" 2 "SDI" 5 2 1
"80" 2 "SDI" 6 3 1
"81" 2 "SDI" 7 4 1
"82" 2 "SDI" 8 1 1
"83" 2 "SDI" 9 2 1
"84" 2 "SDI" 10 3 1
"85" 2 "SDI" 11 4 1
"86" 2 "SDI" 12 1 1
"87" 2 "SDI" 13 4 0
"88" 2 "SDI" 14 1 0
"89" 2 "SDI" 15 2 0
"90" 2 "SDI" 16 4 1
"91" 2 "SDI" 17 3 0
"92" 2 "SDI" 18 3 0
"93" 2 "SDI" 19 4 0
"94" 2 "SDI" 20 3 0
"95" 2 "SDI" 21 2 1
"96" 2 "SDI" 22 3 1
"97" 2 "SDI" 23 2 1
"98" 2 "SDI" 24 4 0
"99" 2 "SDI" 25 4 0
"100" 2 "SDI" 26 1 1
"101" 2 "SDI" 27 4 0
"102" 2 "SDI" 28 4 1
"103" 2 "SDI" 29 2 1
"104" 2 "SDI" 30 1 0
"105" 2 "SDI" 31 2 0
"106" 2 "SDI" 32 2 1
"107" 2 "SDI" 33 4 1
"108" 2 "SDI" 34 3 1
"109" 2 "SDI" 35 2 1
"110" 2 "SDI" 36 1 1
"111" 2 "SDI" 37 4 1
"112" 2 "SDI" 38 2 1
"113" 2 "SDI" 39 4 1
"114" 2 "SDI" 40 3 1
"115" 2 "SDI" 41 1 1
"116" 2 "SDI" 42 2 0
"117" 2 "SDI" 43 3 0
"118" 2 "SDI" 44 2 1
"119" 2 "SDI" 45 3 1
"120" 2 "SDI" 46 3 0
"121" 2 "SDI" 47 1 1
"122" 2 "SDI" 48 3 1
"123" 2 "SDI" 49 3 0
"124" 2 "SDI" 50 2 0
"125" 2 "SDI" 51 4 0
"126" 2 "SDI" 52 3 1
"127" 2 "SDI" 53 1 0
"128" 2 "SDI" 54 4 1
"129" 2 "SDI" 55 4 0
"130" 2 "SDI" 56 4 0
"131" 2 "SDI" 57 3 0
"132" 2 "SDI" 58 3 0
"133" 2 "SDI" 59 3 1
"134" 2 "SDI" 60 2 1
"135" 2 "SDI" 61 4 1
"136" 2 "SDI" 62 3 1
"137" 2 "SDI" 63 1 0
"138" 2 "SDI" 64 1 1
"139" 2 "SDI" 65 1 1
"140" 2 "SDI" 66 4 1
"141" 2 "SDI" 67 2 1
"142" 2 "SDI" 68 1 1
"143" 2 "SDI" 69 4 1
"144" 2 "SDI" 70 1 1
"145" 2 "SDI" 71 4 1
"146" 2 "SDI" 72 3 1
"147" 2 "SDI" 73 4 1
"148" 2 "SDI" 74 2 0
"149" 2 "SDI" 75 1 0
"150" 2 "SDI" 76 1 1
"151" 2 "SDI" 77 4 1
"152" 2 "SDI" 78 3 1
"153" 2 "SDI" 79 2 1
"154" 2 "SDI" 80 4 1
"155" 2 "SDI" 81 1 1
"156" 2 "SDI" 82 3 1
"157" 2 "SDI" 83 1 1
"158" 2 "SDI" 84 3 1
"159" 2 "SDI" 85 4 1
"160" 2 "SDI" 86 2 0
"161" 2 "SDI" 87 2 1
"162" 2 "SDI" 88 4 0
"163" 2 "SDI" 89 1 0
"164" 2 "SDI" 90 1 1
"165" 2 "SDI" 91 4 0
"166" 2 "SDI" 92 1 0
"167" 2 "SDI" 93 2 1
"168" 2 "SDI" 94 1 0
"169" 2 "SDI" 95 4 1
"170" 2 "SDI" 96 1 0
"171" 2 "SDI" 97 4 1
"172" 2 "SDI" 98 4 0
"173" 2 "SDI" 99 1 0
"174" 2 "SDI" 100 4 0
"175" 2 "SDI" 101 4 1
"176" 2 "SDI" 102 3 0
"177" 2 "SDI" 103 2 0
"178" 2 "SDI" 104 3 1
"179" 2 "SDI" 105 1 1
"180" 2 "SDI" 106 2 1
"181" 2 "SDI" 107 4 1
"182" 2 "SDI" 108 1 1
"183" 2 "SDI" 109 1 0
"184" 2 "SDI" 110 3 1
"185" 2 "SDI" 111 4 1
"186" 2 "SDI" 112 1 1
"187" 2 "SDI" 113 3 1
"188" 2 "SDI" 114 2 1
"189" 2 "SDI" 115 1 1
"190" 2 "SDI" 116 2 1
"191" 2 "SDI" 117 4 1
"192" 2 "SDI" 118 1 1
"193" 2 "SDI" 119 3 1
"194" 2 "SDI" 120 4 0
"195" 2 "SDI" 121 2 1
"196" 2 "SDI" 122 1 1
"197" 2 "SDI" 123 3 1
"198" 2 "SDI" 124 2 1
"199" 2 "SDI" 125 4 1
"200" 2 "SDI" 126 3 1
"201" 2 "SDI" 127 2 1
"202" 2 "SDI" 128 1 1
"203" 3 "SDI" 1 1 0
"204" 3 "SDI" 2 1 1
"205" 3 "SDI" 3 4 1
"206" 3 "SDI" 4 1 1
"207" 3 "SDI" 5 2 1
"208" 3 "SDI" 6 3 1
"209" 3 "SDI" 7 4 1
"210" 3 "SDI" 8 1 1
"211" 3 "SDI" 9 2 1
"212" 3 "SDI" 10 3 1
"213" 3 "SDI" 11 4 1
"214" 3 "SDI" 12 1 1
"215" 3 "SDI" 13 4 0
"216" 3 "SDI" 14 2 1
"217" 3 "SDI" 15 1 1
"218" 3 "SDI" 16 4 1
"219" 3 "SDI" 17 2 1
"220" 3 "SDI" 18 4 1
"221" 3 "SDI" 19 1 1
"222" 3 "SDI" 20 4 1
"223" 3 "SDI" 21 2 1
"224" 3 "SDI" 22 3 1
"225" 3 "SDI" 23 2 1
"226" 3 "SDI" 24 1 0
"227" 3 "SDI" 25 1 0
"228" 3 "SDI" 26 3 0
"229" 3 "SDI" 27 4 0
"230" 3 "SDI" 28 1 0
"231" 3 "SDI" 29 2 1
"232" 3 "SDI" 30 3 0
"233" 3 "SDI" 31 2 0
"234" 3 "SDI" 32 1 1
"235" 3 "SDI" 33 4 0
"236" 3 "SDI" 34 4 1
"237" 3 "SDI" 35 1 1
"238" 3 "SDI" 36 4 1
"239" 3 "SDI" 37 2 1
"240" 3 "SDI" 38 3 1
"241" 3 "SDI" 39 1 1
"242" 3 "SDI" 40 4 1
"243" 3 "SDI" 41 1 1
"244" 3 "SDI" 42 3 1
"245" 3 "SDI" 43 4 1
"246" 3 "SDI" 44 2 1
"247" 3 "SDI" 45 3 0
"248" 3 "SDI" 46 3 1
"249" 3 "SDI" 47 4 1
"250" 3 "SDI" 48 3 1
"251" 3 "SDI" 49 2 1
"252" 3 "SDI" 50 3 1
"253" 3 "SDI" 51 4 1
"254" 3 "SDI" 52 2 1
"255" 3 "SDI" 53 1 1
"256" 3 "SDI" 54 2 1
"257" 3 "SDI" 55 4 1
"258" 3 "SDI" 56 2 0
"259" 3 "SDI" 57 2 0
"260" 3 "SDI" 58 1 1
"261" 3 "SDI" 59 3 1
"262" 3 "SDI" 60 4 1
"263" 3 "SDI" 61 2 1
"264" 3 "SDI" 62 3 1
"265" 3 "SDI" 63 1 1
"266" 3 "SDI" 64 3 1
"267" 3 "SDI" 65 1 1
"268" 3 "SDI" 66 3 1
"269" 3 "SDI" 67 1 1
"270" 3 "SDI" 68 4 0
"271" 3 "SDI" 69 2 0
"272" 3 "SDI" 70 3 0
"273" 3 "SDI" 71 4 1
"274" 3 "SDI" 72 3 1
"275" 3 "SDI" 73 4 1
"276" 3 "SDI" 74 1 0
"277" 3 "SDI" 75 1 1
"278" 3 "SDI" 76 3 1
"279" 3 "SDI" 77 2 1
"280" 3 "SDI" 78 1 1
"281" 3 "SDI" 79 3 1
"282" 3 "SDI" 80 4 1
"283" 3 "SDI" 81 2 1
"284" 3 "SDI" 82 3 1
"285" 3 "SDI" 83 4 1
"286" 3 "SDI" 84 1 1
"287" 4 "SDI" 1 1 0
"288" 4 "SDI" 2 1 1
"289" 4 "SDI" 3 4 1
"290" 4 "SDI" 4 1 1
"291" 4 "SDI" 5 2 1
"292" 4 "SDI" 6 3 1
"293" 4 "SDI" 7 4 1
"294" 4 "SDI" 8 1 1
"295" 4 "SDI" 9 2 1
"296" 4 "SDI" 10 3 1
"297" 4 "SDI" 11 4 1
"298" 4 "SDI" 12 1 1
"299" 4 "SDI" 13 4 0
"300" 4 "SDI" 14 2 1
"301" 4 "SDI" 15 1 1
"302" 4 "SDI" 16 4 1
"303" 4 "SDI" 17 2 1
"304" 4 "SDI" 18 4 1
"305" 4 "SDI" 19 1 1
"306" 4 "SDI" 20 4 1
"307" 4 "SDI" 21 2 1
"308" 4 "SDI" 22 3 1
"309" 4 "SDI" 23 2 1
"310" 4 "SDI" 24 1 0
"311" 4 "SDI" 25 1 0
"312" 4 "SDI" 26 2 1
"313" 4 "SDI" 27 3 1
"314" 4 "SDI" 28 4 1
"315" 4 "SDI" 29 2 1
"316" 4 "SDI" 30 1 1
"317" 4 "SDI" 31 4 1
"318" 4 "SDI" 32 1 1
"319" 4 "SDI" 33 3 1
"320" 4 "SDI" 34 4 1
"321" 4 "SDI" 35 1 1
"322" 4 "SDI" 36 4 0
"323" 4 "SDI" 37 4 1
"324" 4 "SDI" 38 2 0
"325" 4 "SDI" 39 2 1
"326" 4 "SDI" 40 4 1
"327" 4 "SDI" 41 1 1
"328" 4 "SDI" 42 4 1
"329" 4 "SDI" 43 3 1
"330" 4 "SDI" 44 2 1
"331" 4 "SDI" 45 1 1
"332" 4 "SDI" 46 3 1
"333" 4 "SDI" 47 4 1
"334" 4 "SDI" 48 3 1
"335" 4 "SDI" 49 2 0
"336" 4 "SDI" 50 2 1
"337" 4 "SDI" 51 1 1
"338" 4 "SDI" 52 2 1
"339" 4 "SDI" 53 4 1
"340" 4 "SDI" 54 1 1
"341" 4 "SDI" 55 3 1
"342" 4 "SDI" 56 4 1
"343" 4 "SDI" 57 3 1
